ML_USE,GCS_FILE_PATH,LABEL
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/4e407e24-e738-407c-9b4e-a77e99f85a32___RS_L.Scorch 9975.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Potato___Early_blight/f980fef9-bcf5-47fd-8426-2c503dc35f88___RS_Early.B 6745.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/890379a9-f446-4f14-af25-bbf4a3544473___FREC_Pwd.M 0391.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Potato___Late_blight/ec5974a3-4c73-4129-a372-8ddec73eb246___RS_LB 3034.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Potato___Late_blight/85d60a7c-4a4c-4fcf-8743-21b4c03ff12c___RS_LB 3868.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/d1e7fd29-6688-4a63-965d-3b2ff126019c___JR_HL 4238.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/9f57292a-576b-4ae8-a71a-cdaf42bcd6b7___JR_HL 9861.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Potato___Late_blight/fff55a7e-2f86-4747-8d31-f1fde3c307aa___RS_LB 3081.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/3889d54c-d40e-4663-bef0-d2df478ee413___FREC_Pwd.M 0374.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Potato___healthy/38faf81d-c83b-42ca-b4c3-e3bbfa070589___RS_HL 1805.JPG,Potato___healthy
training,gs://grupo03-ml00/data/Potato___Late_blight/05c29b23-ecdf-41fc-be67-910bb74cd67c___RS_LB 4016.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/65e5f561-70cd-4282-98d6-9ecc667881e5___RS_L.Scorch 9951.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Potato___Late_blight/1cd053f6-0016-4680-a924-af15aecd7fb2___RS_LB 4414.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Potato___Early_blight/fdc1f5ed-66b5-4564-8957-055905b8a569___RS_Early.B 8244.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Potato___Early_blight/c9296b35-7b8b-4ac2-99db-07c426ec774b___RS_Early.B 6832.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/73528ace-e81b-4d49-abea-1b9c395feba2___JR_HL 4184.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/9c9e2bcf-db46-4269-ab25-756bb93ba03c___RS_L.Scorch 1462.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Potato___Late_blight/782bc9dd-286b-46ee-b896-fa5520f57b0c___RS_LB 4408.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/edbf37ef-ad85-444e-81ad-e35f45282342___FREC_Pwd.M 4545.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/4f870c34-1889-429c-adb2-0f70faf0ca30___JR_HL 9745.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/c076e4d9-400a-48bc-81bd-7d776fe20202___FREC_Pwd.M 5043.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Potato___Late_blight/1d05837e-11e4-40a4-8bd5-cfe5ad67365a___RS_LB 5428.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/ecf3ae61-8dea-41ee-838d-818507405409___JR_HL 9470.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/5e6bb1b9-d851-4300-995f-fc2121288e5d___FREC_Pwd.M 5068.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Potato___Early_blight/4f12ef84-6c6e-43d6-b6f1-3a8b0278b3a6___RS_Early.B 8101.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Potato___Late_blight/dfa65276-0450-4a57-ba94-25384d378f22___RS_LB 4065.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Potato___Late_blight/f93b9fc8-469b-4a2f-8c0b-ca3d1a093185___RS_LB 3870.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/d1783f85-5cb9-4683-b493-4e9112749f23___JR_HL 9507.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Potato___Late_blight/fdf53f6c-db92-48b9-9e06-0358e4114be6___RS_LB 2656.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Potato___Early_blight/51d521bb-5800-4f46-8fd0-f6cb09f37989___RS_Early.B 7572.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/72004a28-4169-447c-972f-183619971f6b___RS_L.Scorch 0878.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/af36d4bf-c90e-4bbb-b800-575f1dfed7e5___FREC_Pwd.M 4677.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/d45b03fe-d4cc-470c-bb27-e8ced9b6468f___FREC_Pwd.M 5081.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/2f85af8e-0d83-4557-93a0-edfa85db9753___RS_L.Scorch 1439.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Strawberry___healthy/02caa98d-1c74-43b3-b3ee-e8492998f82a___RS_HL 2090.JPG,Strawberry___healthy
training,gs://grupo03-ml00/data/Potato___Early_blight/a2fe15c2-1900-4fbd-9e69-771b1693cc68___RS_Early.B 7398.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Strawberry___healthy/d491c6dc-d208-4199-a764-a98d72a85e5c___RS_HL 1674.JPG,Strawberry___healthy
training,gs://grupo03-ml00/data/Strawberry___healthy/2ac2f01a-2009-4d77-ae77-e3925f513fe0___RS_HL 4443.JPG,Strawberry___healthy
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/30e43c7d-0621-4827-8a3a-3ae771996f1e___RS_L.Scorch 9959.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Potato___Late_blight/d3e6cc68-6d84-406f-9e02-b81f8051ecb3___RS_LB 3992.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Potato___Late_blight/410cba02-24db-487a-a30c-fc7cefba924b___RS_LB 2571.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Potato___Early_blight/c10f959b-1f3d-4581-8299-640e87b1b653___RS_Early.B 7949.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/7011a44e-fd95-478e-a4b2-4a3f5f8f08e2___RS_L.Scorch 0146.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/8cbe327f-3fb1-4b1c-a968-f656ce3f7a21___RS_L.Scorch 0859.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/eafefde7-3a21-4a76-bd73-1d20d6eee535___JR_HL 9628.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/5b7d9504-77ba-4d76-95be-f00606ee3143___FREC_Pwd.M 0543.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Potato___Early_blight/2fe81ef1-d7ec-4395-b071-c74d5beb4037___RS_Early.B 7242.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Potato___Late_blight/0f6eac3b-d674-4c4d-ab3a-88689feec07f___RS_LB 5232.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Potato___Late_blight/93d91b96-e024-477c-9b76-796e3f1614d4___RS_LB 3297.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Potato___Early_blight/544b5324-f697-4af8-90d4-47b7b86691c6___RS_Early.B 7028.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/2d90a8b3-1a11-4c72-9334-42fb50862f6d___RS_L.Scorch 9992.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/69ec43f8-9a3a-4c2a-aaa7-18375819931f___FREC_Pwd.M 0518.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Potato___Early_blight/1e671694-5713-4568-b8ad-06f15688d25e___RS_Early.B 7659.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Potato___Late_blight/b4e52186-de58-4c06-bbd2-2fb3dbeda13e___RS_LB 2655.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Potato___Early_blight/2ec0f91e-b8a4-4aeb-9e08-8bd32b492487___RS_Early.B 7502.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Potato___Early_blight/07d777f8-2c5a-48da-935e-f17c572b1e6e___RS_Early.B 7880.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Strawberry___healthy/92b561cb-8839-4da0-81af-faedcb91b788___RS_HL 2193.JPG,Strawberry___healthy
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/f4a25922-202e-4024-8eb9-636311603cba___FREC_Pwd.M 0441.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/29e56679-80ca-4254-b95b-392645fd9b7f___RS_L.Scorch 0792.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/e3d7e13a-d565-4d9e-8a81-ff09e1f619ad___JR_HL 9863.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Potato___Late_blight/794ef65d-1a4c-445a-b77c-f00d36ec82c6___RS_LB 2869.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/1cf83654-e177-4fbd-9ff9-8e28974e82d6___RS_L.Scorch 1550.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/87571940-c67c-4f7a-b0f8-34335ce31496___RS_L.Scorch 1456.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Potato___Late_blight/2ef5c4f6-a798-40fd-8380-f444f3290987___RS_LB 4428.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Strawberry___healthy/275f8963-f4f4-4903-962b-1da716725d08___RS_HL 4780.JPG,Strawberry___healthy
training,gs://grupo03-ml00/data/Potato___Late_blight/58f100f0-490b-4868-95d1-5883fc3432d3___RS_LB 3302.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/b7741adf-fb42-492a-b931-06a6db5c2ca0___RS_L.Scorch 0787.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/d7e1d949-4c49-43c5-8db1-a65f2ed18661___FREC_Pwd.M 4469.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/70e522da-fc11-4fd0-b82d-c177b593b299___RS_L.Scorch 0144.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/5c981717-3397-4a55-b2e4-13301e5d7b29___JR_HL 4195.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/4a4c92aa-54e7-4a06-a18c-a399fcc4a649___JR_HL 4064.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Potato___Early_blight/4019e40b-0175-462a-b6bb-228cf42c1a65___RS_Early.B 8256.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/e39b1acb-977d-4757-95c2-ed6efc5b099b___JR_HL 3926.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/4f89ed72-202f-4357-b15e-246999c59d03___RS_L.Scorch 0004.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Potato___Late_blight/6637f5da-44b1-43bc-9678-1f1188f1ed7c___RS_LB 4796.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/9d368867-837e-442b-a45f-d0d3d3f4cf13___RS_L.Scorch 0057.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/c944933f-ef35-443a-b9fc-a53538ebdc3e___RS_L.Scorch 9903.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Potato___Late_blight/0396e413-e165-427a-ba72-04cbae7b8ab0___RS_LB 4751.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Potato___Early_blight/4bac4925-72ff-43e7-8726-5e2126c6c30d___RS_Early.B 8206.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/d63156f5-5338-472f-9cdb-4049f66b6e41___RS_L.Scorch 0150.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Potato___Early_blight/12826416-efc5-49d3-b615-731629c95435___RS_Early.B 7215.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/d88e4a8d-fd1c-41a4-b307-2615ba6783c2___JR_HL 9584.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/e00332a5-dd41-4381-9ed4-1f3d8b9a9ed9___FREC_Pwd.M 4555.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Strawberry___healthy/e178986b-223c-4da1-8c0f-2314de66df55___RS_HL 2042.JPG,Strawberry___healthy
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/78761149-870c-4ab1-8de3-4361d2866dd5___JR_HL 3982.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Potato___Early_blight/beb20b26-07f9-4215-8264-dca1283514ac___RS_Early.B 7644.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Potato___Late_blight/c8bfd67e-892e-4502-982a-adba5505be5d___RS_LB 4444.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/d8d56350-2b4a-49e3-9cad-0e3317777b67___JR_HL 4289.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Potato___Late_blight/d7fdf2fa-8a55-4ff5-86a2-ca73c5883e93___RS_LB 4665.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Potato___Late_blight/b9aecfc3-98d5-467a-8773-ee2905918c71___RS_LB 5161.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/6b18c4ef-cc0f-4573-85c5-d4c24a8ae9e7___JR_HL 9548.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/d1143390-e5d3-44e7-a1c6-dfeb40da8eb0___RS_L.Scorch 1254.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/456af412-3d01-4046-b2a7-1283a2121d07___JR_HL 9498.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Potato___Late_blight/749a1b32-7152-4dce-87b4-92af094f6b9b___RS_LB 3310.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Potato___Late_blight/b41284a3-27e9-4f0c-8946-4deb0b8fc238___RS_LB 2839.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Potato___Early_blight/7c0e4eed-d8e2-410f-a7bf-9f5a1c4a566d___RS_Early.B 8042.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/d297097e-4fbb-4133-b8d8-eb3a2d9acfc2___FREC_Pwd.M 4609.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Potato___Late_blight/19323229-6fdc-4231-bd3e-a46ddcff2111___RS_LB 3196.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Potato___Late_blight/33fa45a7-e6ff-4e75-9c6e-28570fdfedb6___RS_LB 3054.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/9631e500-ef1d-4320-95f0-71bea864ed82___RS_L.Scorch 0857.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Potato___Early_blight/c03a3f69-00b7-4aa5-a49f-794416af0598___RS_Early.B 8112.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/8db247a7-bd72-4cbd-9b3a-808045c929d6___JR_HL 4229.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Potato___Early_blight/81bc4d94-be1f-4127-8203-da3ae29aa3d5___RS_Early.B 7305.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/d963116d-4eec-42a1-82ce-6ef28536b77e___JR_HL 4324.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/835aa390-f0a2-490f-9d55-ddd320dbd528___FREC_Pwd.M 0452.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Potato___Early_blight/b692a411-91aa-4388-b641-a6c02286840c___RS_Early.B 7784.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/70408f47-c49b-44d5-8ced-f3d7d02d8b68___FREC_Pwd.M 4503.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/aa7594e0-4387-4c28-8f78-8e0dc9dc4e6f___RS_L.Scorch 1194.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Potato___Early_blight/bc7552e4-3901-41b8-8bef-727eeca4270e___RS_Early.B 7942.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/4324591b-b9e1-4fb8-a231-a2b42fab0e8d___JR_HL 9773.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/a0b4d7a4-947b-4ca7-9984-88da24f41390___JR_HL 9468.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Potato___Late_blight/33b849d5-ec92-4acb-88e6-530accf22734___RS_LB 4994.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Potato___Early_blight/08392b44-ecc6-4f38-8566-361b552cfe21___RS_Early.B 7393.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/8236091f-890d-4af4-995c-e4a259904d5d___JR_HL 9701.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/75435566-6073-4f71-9376-0fe7e4598ae9___JR_HL 9636.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/6e5e0267-fdff-4f09-acdb-ae08f56f4412___RS_L.Scorch 0822.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Potato___Early_blight/f917c191-cca4-4a78-8238-a40b586f9058___RS_Early.B 7945.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/f2195961-ff27-4628-a344-72aae1d750b4___FREC_Pwd.M 4476.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/5402226e-5147-4854-ba4c-eaa51a757be8___RS_L.Scorch 1285.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Potato___Late_blight/02c8ff21-4e0a-4326-ba8f-089e5cb45b74___RS_LB 4089.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/3c51251b-482f-4753-adff-c0049bcb9a6a___FREC_Pwd.M 5118.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Potato___Early_blight/425e5f26-56b0-404d-b537-dc3353ecee09___RS_Early.B 7058.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/2dafc6f0-d7f6-4420-ba81-8fa2e85744b6___RS_L.Scorch 1431.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/09967a6c-dd12-49ff-8ffd-0124677aa228___FREC_Pwd.M 5122.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/5cd2f748-9c48-4014-a623-719154ad16e9___FREC_Pwd.M 0589.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Potato___Late_blight/85bbcdd2-a9fe-46d1-8e0e-f4e2c5e885fe___RS_LB 3218.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/4ed944ee-0eb1-42e5-9346-f6e519dd8c94___RS_L.Scorch 0017.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/fb875b22-ebb7-4100-ac70-ed127e9f1033___JR_HL 9623.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/7a0d3bb1-3b92-484a-b63c-07418451a42a___RS_L.Scorch 1422.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/370f1afd-57db-4b5f-988a-fe23851a135f___JR_HL 9499.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Strawberry___healthy/bf2896d7-8289-4198-ae01-c8870ccda768___RS_HL 2204.JPG,Strawberry___healthy
training,gs://grupo03-ml00/data/Potato___Early_blight/5a7ca2a3-5bfc-47b7-9657-85a6c95a0956___RS_Early.B 7061.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Potato___Late_blight/910139a3-cd42-4adc-a24b-3602fd4de7d3___RS_LB 4415.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/1cc8262f-97fa-4259-9c87-d2abd7b284a2___FREC_Pwd.M 0443.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Potato___Early_blight/bb569e8c-4f57-481f-86d9-291ebd67336e___RS_Early.B 7543.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Potato___Late_blight/12e2c9b5-fbfc-4bc9-898b-86ead976a615___RS_LB 2702.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Potato___Late_blight/fe72d959-6788-4b19-9285-e0b2919dc718___RS_LB 2516.JPG,Potato___Late_blight
training,gs://grupo03-ml00/data/Potato___healthy/b9ea902d-e557-4fa5-893b-39a7a57c0121___RS_HL 1893.JPG,Potato___healthy
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/d10450db-0969-4618-b9e9-0405c2ce0ef9___FREC_Pwd.M 0464.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/6a29fa42-1de4-4f30-9b59-961793ae719f___RS_L.Scorch 1317.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Cherry_(including_sour)___Powdery_mildew/0862d549-133d-499f-b847-446e09de2362___FREC_Pwd.M 4631.JPG,Cherry_(including_sour)___Powdery_mildew
training,gs://grupo03-ml00/data/Cherry_(including_sour)___healthy/6ed358a8-f503-43ab-a5de-bbdb07ade6b6___JR_HL 4118.JPG,Cherry_(including_sour)___healthy
training,gs://grupo03-ml00/data/Strawberry___Leaf_scorch/66eb909e-8046-44cd-95eb-d78ba3f91ccf___RS_L.Scorch 1124.JPG,Strawberry___Leaf_scorch
training,gs://grupo03-ml00/data/Potato___Early_blight/e57ca76e-a4c3-40f2-a673-9f48b3b357ae___RS_Early.B 7539.JPG,Potato___Early_blight
training,gs://grupo03-ml00/data/Potato___Late_blight/20e59080-5a86-4aa8-b5b1-d886a4b273b7___RS_LB 3165.JPG,Potato___Late_blight
